GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TaskService,com.taskservice,TaskService,0,71,1,7,0,17,1,8,0,5
TaskService,com.taskservice,Task,0,86,0,20,0,22,0,16,0,6
TaskService,com.taskservice,App,7,0,0,0,3,0,2,0,2,0
